[2025-03-28 14:55:17] Balance: 29136.95 | Win: true
[2025-03-28 14:55:18] Balance: 29136.95 | Win: true
[2025-03-28 14:55:18] Balance: 29136.95 | Win: true
[2025-03-28 14:55:19] Balance: 29136.95 | Win: true
[2025-03-28 14:55:19] Balance: 29136.95 | Win: true
[2025-03-28 14:55:19] Balance: 29136.95 | Win: true
[2025-03-28 14:55:20] Balance: 29136.95 | Win: true
[2025-03-28 14:55:20] Balance: 29136.95 | Win: true
[2025-03-28 14:55:21] Balance: 29136.95 | Win: true
[2025-03-28 14:55:22] Balance: 29136.95 | Win: true
[2025-03-28 14:55:22] Balance: 29136.95 | Win: true
[2025-03-28 14:55:23] Balance: 29136.95 | Win: true
[2025-03-28 14:55:23] Balance: 29136.95 | Win: true
[2025-03-28 14:55:24] Balance: 29136.95 | Win: true
[2025-03-28 14:55:24] Balance: 29136.95 | Win: true
[2025-03-28 14:55:25] Balance: 29136.95 | Win: true
[2025-03-28 14:55:25] Balance: 29136.95 | Win: true
[2025-03-28 14:55:26] Balance: 29136.95 | Win: true
[2025-03-28 14:55:26] Balance: 29136.95 | Win: true
[2025-03-28 14:55:27] Balance: 29136.95 | Win: true
[2025-03-28 14:55:27] Balance: 29136.95 | Win: true
[2025-03-28 14:55:28] Balance: 29136.95 | Win: true
[2025-03-28 14:55:28] Balance: 29136.95 | Win: true
[2025-03-28 14:55:28] Balance: 29136.95 | Win: true
[2025-03-28 14:55:29] Balance: 29136.95 | Win: true
[2025-03-28 14:55:29] Balance: 29136.95 | Win: true
[2025-03-28 14:55:29] Balance: 29136.95 | Win: true
[2025-03-28 14:55:30] Balance: 29136.95 | Win: true
[2025-03-28 14:55:30] Balance: 29136.95 | Win: true
[2025-03-28 14:55:31] Balance: 29136.95 | Win: true
[2025-03-28 14:55:31] Balance: 29136.95 | Win: true
[2025-03-28 14:55:32] Balance: 29136.95 | Win: true
[2025-03-28 14:55:32] Balance: 29136.95 | Win: true
[2025-03-28 14:55:32] Balance: 29136.95 | Win: true
[2025-03-28 14:55:33] Balance: 29136.95 | Win: true
[2025-03-28 14:55:33] Balance: 29136.95 | Win: true
[2025-03-28 14:55:33] Balance: 29136.95 | Win: true
[2025-03-28 14:55:34] Balance: 29136.95 | Win: true
[2025-03-28 14:55:34] Balance: 29136.95 | Win: true
[2025-03-28 14:55:35] Balance: 29136.95 | Win: true
[2025-03-28 14:55:35] Balance: 29136.95 | Win: true
[2025-03-28 14:55:36] Balance: 29136.95 | Win: true
[2025-03-28 14:55:36] Balance: 29136.95 | Win: true
[2025-03-28 14:55:36] Balance: 29136.95 | Win: true
[2025-03-28 14:55:37] Balance: 28802.95 | Win: false
[2025-03-28 14:55:37] Balance: 28802.95 | Win: true
[2025-03-28 14:55:38] Balance: 28802.95 | Win: true
[2025-03-28 14:55:39] Balance: 28802.95 | Win: true
[2025-03-28 14:55:39] Balance: 28802.95 | Win: true
[2025-03-28 14:55:40] Balance: 28802.95 | Win: true
[2025-03-28 14:55:40] Balance: 28802.95 | Win: true
[2025-03-28 14:55:40] Balance: 28802.95 | Win: true
[2025-03-28 14:55:41] Balance: 28468.95 | Win: false
[2025-03-28 14:55:41] Balance: 28468.95 | Win: true
[2025-03-28 14:55:42] Balance: 28468.95 | Win: true
[2025-03-28 14:55:42] Balance: 28468.95 | Win: true
[2025-03-28 14:55:42] Balance: 28468.95 | Win: true
[2025-03-28 14:55:43] Balance: 28468.95 | Win: true
[2025-03-28 14:55:43] Balance: 28468.95 | Win: true
[2025-03-28 14:55:44] Balance: 28468.95 | Win: true
[2025-03-28 14:55:44] Balance: 28468.95 | Win: true
[2025-03-28 14:55:44] Balance: 28468.95 | Win: true
[2025-03-28 14:55:45] Balance: 28468.95 | Win: true
[2025-03-28 14:55:45] Balance: 28468.95 | Win: true
[2025-03-28 14:55:46] Balance: 28468.95 | Win: true
[2025-03-28 14:55:46] Balance: 28468.95 | Win: true
[2025-03-28 14:55:46] Balance: 28468.95 | Win: true
[2025-03-28 14:55:47] Balance: 28468.95 | Win: true
[2025-03-28 14:55:47] Balance: 28468.95 | Win: true
[2025-03-28 14:55:48] Balance: 28468.95 | Win: true
[2025-03-28 14:55:48] Balance: 28468.95 | Win: true
[2025-03-28 14:55:49] Balance: 28468.95 | Win: true
[2025-03-28 14:55:49] Balance: 28468.95 | Win: true
[2025-03-28 14:55:49] Balance: 28468.95 | Win: true
[2025-03-28 14:55:50] Balance: 28468.95 | Win: true
[2025-03-28 14:55:50] Balance: 28468.95 | Win: true
