[2025-03-21 03:40:20] Balance: 70.01 | Win: true
[2025-03-21 03:40:20] Balance: 70.01 | Win: true
[2025-03-21 03:40:21] Balance: 70.01 | Win: true
[2025-03-21 03:40:21] Balance: 70.01 | Win: true
[2025-03-21 03:40:21] Balance: 70.01 | Win: true
[2025-03-21 03:40:22] Balance: 70.01 | Win: true
[2025-03-21 03:40:22] Balance: 70.01 | Win: true
[2025-03-21 03:40:23] Balance: 70.01 | Win: true
[2025-03-21 03:40:23] Balance: 70.01 | Win: true
[2025-03-21 03:40:24] Balance: 70.01 | Win: true
[2025-03-21 03:40:24] Balance: 70.01 | Win: true
[2025-03-21 03:40:24] Balance: 70.01 | Win: true
[2025-03-21 03:40:25] Balance: 70.01 | Win: true
[2025-03-21 03:40:25] Balance: 70.01 | Win: true
[2025-03-21 03:40:26] Balance: 70.01 | Win: true
[2025-03-21 03:40:26] Balance: 70.01 | Win: true
[2025-03-21 03:40:27] Balance: 70.01 | Win: true
[2025-03-21 03:40:27] Balance: 70.01 | Win: true
[2025-03-21 03:40:28] Balance: 70.01 | Win: true
[2025-03-21 03:40:28] Balance: 70.01 | Win: true
[2025-03-21 03:40:28] Balance: 70.01 | Win: true
[2025-03-21 03:40:29] Balance: 70.01 | Win: true
[2025-03-21 03:40:29] Balance: 70.01 | Win: true
[2025-03-21 03:40:30] Balance: 70.01 | Win: true
[2025-03-21 03:40:30] Balance: 70.01 | Win: true
[2025-03-21 03:40:31] Balance: 70.01 | Win: true
[2025-03-21 03:40:31] Balance: 70.01 | Win: true
[2025-03-21 03:40:32] Balance: 70.01 | Win: true
[2025-03-21 03:40:32] Balance: 70.01 | Win: true
[2025-03-21 03:40:32] Balance: 70.01 | Win: true
[2025-03-21 03:40:33] Balance: 70.01 | Win: true
[2025-03-21 03:40:33] Balance: 70.01 | Win: true
[2025-03-21 03:40:33] Balance: 70.01 | Win: true
[2025-03-21 03:40:34] Balance: 70.01 | Win: true
[2025-03-21 03:40:34] Balance: 70.01 | Win: true
[2025-03-21 03:40:34] Balance: 70.01 | Win: true
[2025-03-21 03:40:35] Balance: 70.01 | Win: true
[2025-03-21 03:40:35] Balance: 70.01 | Win: true
[2025-03-21 03:40:35] Balance: 70.01 | Win: true
[2025-03-21 03:40:36] Balance: 70.01 | Win: true
[2025-03-21 03:40:36] Balance: 70.01 | Win: true
[2025-03-21 03:40:37] Balance: 70.01 | Win: true
[2025-03-21 03:40:37] Balance: 70.01 | Win: true
[2025-03-21 03:40:37] Balance: 70.01 | Win: true
[2025-03-21 03:40:38] Balance: 70.01 | Win: true
[2025-03-21 03:40:38] Balance: 70.01 | Win: true
[2025-03-21 03:40:38] Balance: 70.01 | Win: true
[2025-03-21 03:40:39] Balance: 70.01 | Win: true
[2025-03-21 03:40:39] Balance: 70.01 | Win: true
[2025-03-21 03:40:40] Balance: 70.01 | Win: true
[2025-03-21 03:40:40] Balance: 70.01 | Win: true
[2025-03-21 03:40:40] Balance: 70.01 | Win: true
[2025-03-21 03:40:41] Balance: 70.01 | Win: true
[2025-03-21 03:40:41] Balance: 70.01 | Win: true
[2025-03-21 03:40:41] Balance: 70.01 | Win: true
[2025-03-21 03:40:42] Balance: 70.01 | Win: true
[2025-03-21 03:40:42] Balance: 70.01 | Win: true
[2025-03-21 03:40:42] Balance: 70.01 | Win: true
[2025-03-21 03:40:43] Balance: 70.01 | Win: true
[2025-03-21 03:40:43] Balance: 70.01 | Win: true
[2025-03-21 03:40:44] Balance: 70.01 | Win: true
[2025-03-21 03:40:44] Balance: 70.01 | Win: true
[2025-03-21 03:40:44] Balance: 70.01 | Win: true
