[2025-03-19 19:16:19] Balance: 0.00 | Win: true
[2025-03-19 19:16:19] Balance: 0.00 | Win: true
[2025-03-19 19:16:19] Balance: 0.00 | Win: true
[2025-03-19 19:16:20] Balance: 0.00 | Win: true
[2025-03-19 19:16:20] Balance: 0.00 | Win: true
[2025-03-19 19:16:21] Balance: 0.00 | Win: true
[2025-03-19 19:16:21] Balance: 0.00 | Win: true
[2025-03-19 19:16:22] Balance: 0.00 | Win: true
[2025-03-19 19:16:22] Balance: 0.00 | Win: true
[2025-03-19 19:16:22] Balance: 0.00 | Win: true
[2025-03-19 19:16:23] Balance: 0.00 | Win: true
[2025-03-19 19:16:23] Balance: 0.00 | Win: true
[2025-03-19 19:16:24] Balance: 0.00 | Win: true
[2025-03-19 19:16:24] Balance: 0.00 | Win: true
[2025-03-19 19:16:24] Balance: 0.00 | Win: true
[2025-03-19 19:16:25] Balance: 0.00 | Win: true
[2025-03-19 19:16:26] Balance: 0.00 | Win: true
[2025-03-19 19:16:26] Balance: 0.00 | Win: true
[2025-03-19 19:16:27] Balance: 0.00 | Win: true
[2025-03-19 19:16:27] Balance: 0.00 | Win: true
[2025-03-19 19:16:27] Balance: 0.00 | Win: true
[2025-03-19 19:16:28] Balance: 0.00 | Win: true
[2025-03-19 19:16:28] Balance: 0.00 | Win: true
[2025-03-19 19:16:29] Balance: 0.00 | Win: true
[2025-03-19 19:16:29] Balance: 0.00 | Win: true
[2025-03-19 19:16:30] Balance: 0.00 | Win: true
[2025-03-19 19:16:30] Balance: 0.00 | Win: true
[2025-03-19 19:16:31] Balance: 0.00 | Win: true
[2025-03-19 19:16:31] Balance: 0.00 | Win: true
[2025-03-19 19:16:31] Balance: 0.00 | Win: true
[2025-03-19 19:16:32] Balance: 0.00 | Win: true
[2025-03-19 19:16:32] Balance: 0.00 | Win: true
[2025-03-19 19:16:33] Balance: 0.00 | Win: false
[2025-03-19 19:16:33] Balance: 0.00 | Win: true
[2025-03-19 19:16:33] Balance: 0.00 | Win: true
[2025-03-19 19:16:34] Balance: 0.00 | Win: true
[2025-03-19 19:16:34] Balance: 0.00 | Win: true
[2025-03-19 19:16:35] Balance: 0.00 | Win: true
[2025-03-19 19:16:35] Balance: 0.00 | Win: true
[2025-03-19 19:16:36] Balance: 0.00 | Win: true
[2025-03-19 19:16:36] Balance: 0.00 | Win: true
[2025-03-19 19:16:36] Balance: 0.00 | Win: true
[2025-03-19 19:16:37] Balance: 0.00 | Win: true
[2025-03-19 19:16:37] Balance: 0.00 | Win: true
[2025-03-19 19:16:38] Balance: 0.00 | Win: true
[2025-03-19 19:16:38] Balance: 0.00 | Win: true
[2025-03-19 19:16:38] Balance: 0.00 | Win: true
[2025-03-19 19:16:39] Balance: 0.00 | Win: true
[2025-03-19 19:16:39] Balance: 0.00 | Win: true
[2025-03-19 19:16:40] Balance: 0.00 | Win: true
[2025-03-19 19:16:40] Balance: 0.00 | Win: true
[2025-03-19 19:16:41] Balance: 0.00 | Win: true
[2025-03-19 19:16:41] Balance: 0.00 | Win: true
[2025-03-19 19:16:42] Balance: 0.00 | Win: true
[2025-03-19 19:16:42] Balance: 0.00 | Win: true
[2025-03-19 19:16:42] Balance: 0.00 | Win: true
[2025-03-19 19:16:43] Balance: 0.00 | Win: false
[2025-03-19 19:16:43] Balance: 0.00 | Win: true
[2025-03-19 19:16:44] Balance: 0.00 | Win: true
[2025-03-19 19:16:44] Balance: 0.00 | Win: true
[2025-03-19 19:16:44] Balance: 0.00 | Win: true
[2025-03-19 19:16:45] Balance: 0.00 | Win: true
[2025-03-19 19:16:45] Balance: 0.00 | Win: false
[2025-03-19 19:16:45] Balance: 0.00 | Win: true
[2025-03-19 19:16:46] Balance: 0.00 | Win: true
[2025-03-19 19:16:46] Balance: 0.00 | Win: true
[2025-03-19 19:16:47] Balance: 0.00 | Win: true
[2025-03-19 19:16:47] Balance: 0.00 | Win: true
[2025-03-19 19:16:47] Balance: 0.00 | Win: true
[2025-03-19 19:16:48] Balance: 0.00 | Win: true
[2025-03-19 19:17:12] Balance: 0.00 | Win: true
[2025-03-19 19:17:12] Balance: 0.00 | Win: true
[2025-03-19 19:17:13] Balance: 0.00 | Win: true
[2025-03-19 19:17:13] Balance: 0.00 | Win: true
[2025-03-19 19:17:13] Balance: 0.00 | Win: true
[2025-03-19 19:17:14] Balance: 0.00 | Win: true
[2025-03-19 19:17:14] Balance: 0.00 | Win: true
[2025-03-19 19:17:14] Balance: 0.00 | Win: true
[2025-03-19 19:17:15] Balance: 0.00 | Win: true
[2025-03-19 19:17:15] Balance: 0.00 | Win: true
[2025-03-19 19:17:16] Balance: 0.00 | Win: true
[2025-03-19 19:17:16] Balance: 0.00 | Win: true
[2025-03-19 19:17:50] Balance: 0.00 | Win: true
[2025-03-19 19:17:51] Balance: 0.00 | Win: true
[2025-03-19 19:17:51] Balance: 0.00 | Win: true
[2025-03-19 19:17:52] Balance: 0.00 | Win: true
[2025-03-19 19:17:52] Balance: 0.00 | Win: true
[2025-03-19 19:17:52] Balance: 0.00 | Win: true
[2025-03-19 19:17:53] Balance: 0.00 | Win: true
[2025-03-19 19:17:53] Balance: 0.00 | Win: true
[2025-03-19 19:17:54] Balance: 0.00 | Win: true
[2025-03-19 19:17:54] Balance: 0.00 | Win: true
[2025-03-19 19:17:55] Balance: 0.00 | Win: true
[2025-03-19 19:17:55] Balance: 0.00 | Win: true
[2025-03-19 19:17:55] Balance: 0.00 | Win: true
[2025-03-19 19:17:56] Balance: 0.00 | Win: true
[2025-03-19 19:18:25] Balance: 0.00 | Win: false
[2025-03-19 19:18:26] Balance: 0.00 | Win: false
[2025-03-19 19:18:26] Balance: 0.00 | Win: false
[2025-03-19 19:18:26] Balance: 0.00 | Win: false
[2025-03-19 19:18:27] Balance: 0.00 | Win: false
[2025-03-19 19:18:27] Balance: 0.00 | Win: false
[2025-03-19 19:18:27] Balance: 0.00 | Win: false
[2025-03-19 19:18:28] Balance: 0.00 | Win: false
[2025-03-19 19:18:28] Balance: 0.00 | Win: false
[2025-03-19 19:18:29] Balance: 0.00 | Win: false
[2025-03-19 19:18:29] Balance: 0.00 | Win: false
[2025-03-19 19:18:29] Balance: 0.00 | Win: false
[2025-03-19 19:18:30] Balance: 0.00 | Win: false
[2025-03-19 19:18:30] Balance: 0.00 | Win: false
[2025-03-19 19:18:30] Balance: 0.00 | Win: false
[2025-03-19 19:18:31] Balance: 0.00 | Win: false
[2025-03-19 19:18:31] Balance: 0.00 | Win: false
[2025-03-19 19:18:31] Balance: 0.00 | Win: false
[2025-03-19 19:18:32] Balance: 0.00 | Win: false
[2025-03-19 19:18:32] Balance: 0.00 | Win: false
[2025-03-19 19:18:33] Balance: 0.00 | Win: false
[2025-03-19 19:18:33] Balance: 0.00 | Win: false
[2025-03-19 19:18:33] Balance: 0.00 | Win: false
[2025-03-19 19:18:34] Balance: 0.00 | Win: false
[2025-03-19 19:18:34] Balance: 0.00 | Win: false
[2025-03-19 19:18:35] Balance: 0.00 | Win: false
[2025-03-19 19:18:35] Balance: 0.00 | Win: false
[2025-03-19 19:18:35] Balance: 0.00 | Win: false
[2025-03-19 19:18:36] Balance: 0.00 | Win: false
[2025-03-19 19:18:36] Balance: 0.00 | Win: false
[2025-03-19 19:18:37] Balance: 0.00 | Win: true
[2025-03-19 19:18:37] Balance: 0.00 | Win: false
[2025-03-19 19:18:37] Balance: 0.00 | Win: false
[2025-03-19 19:18:38] Balance: 0.00 | Win: false
[2025-03-19 19:18:39] Balance: 0.00 | Win: false
[2025-03-19 19:18:39] Balance: 0.00 | Win: false
[2025-03-19 19:18:39] Balance: 0.00 | Win: false
[2025-03-19 19:18:40] Balance: 0.00 | Win: false
[2025-03-19 19:18:40] Balance: 0.00 | Win: false
[2025-03-19 19:18:40] Balance: 0.00 | Win: false
[2025-03-19 19:18:41] Balance: 0.00 | Win: false
[2025-03-19 19:18:41] Balance: 0.00 | Win: false
[2025-03-19 19:18:42] Balance: 0.00 | Win: false
[2025-03-19 19:18:42] Balance: 0.00 | Win: false
[2025-03-19 19:18:42] Balance: 0.00 | Win: false
[2025-03-19 19:18:43] Balance: 0.00 | Win: false
[2025-03-19 19:18:43] Balance: 0.00 | Win: false
[2025-03-19 19:18:44] Balance: 0.00 | Win: false
[2025-03-19 19:18:44] Balance: 0.00 | Win: false
[2025-03-19 19:21:02] Balance: 0.00 | Win: true
[2025-03-19 19:21:03] Balance: 0.00 | Win: true
[2025-03-19 19:21:03] Balance: 0.00 | Win: true
[2025-03-19 19:21:04] Balance: 0.00 | Win: true
[2025-03-19 19:21:04] Balance: 0.00 | Win: true
[2025-03-19 19:21:04] Balance: 0.00 | Win: true
[2025-03-19 19:21:05] Balance: 0.00 | Win: true
[2025-03-19 19:21:05] Balance: 0.00 | Win: true
[2025-03-19 19:21:06] Balance: 0.00 | Win: true
[2025-03-19 19:21:06] Balance: 0.00 | Win: true
[2025-03-19 19:21:07] Balance: 0.00 | Win: true
[2025-03-19 19:21:07] Balance: 0.00 | Win: true
[2025-03-19 19:21:07] Balance: 0.00 | Win: true
[2025-03-19 19:21:08] Balance: 0.00 | Win: false
[2025-03-19 19:21:08] Balance: 0.00 | Win: true
[2025-03-19 19:21:26] Balance: 0.00 | Win: true
[2025-03-19 19:21:27] Balance: 0.00 | Win: true
[2025-03-19 19:21:27] Balance: 0.00 | Win: true
[2025-03-19 19:21:28] Balance: 0.00 | Win: true
[2025-03-19 19:21:28] Balance: 0.00 | Win: true
[2025-03-19 19:21:29] Balance: 0.00 | Win: true
[2025-03-19 19:21:31] Balance: 0.00 | Win: true
[2025-03-19 19:21:31] Balance: 0.00 | Win: true
[2025-03-19 19:21:43] Balance: 0.00 | Win: true
[2025-03-19 19:21:43] Balance: 0.00 | Win: true
[2025-03-19 19:21:44] Balance: 0.00 | Win: true
[2025-03-19 19:21:44] Balance: 0.00 | Win: true
[2025-03-19 19:21:45] Balance: 0.00 | Win: true
[2025-03-19 19:21:45] Balance: 0.00 | Win: true
[2025-03-19 19:23:24] Balance: 0.00 | Win: true
[2025-03-19 19:23:25] Balance: 0.00 | Win: true
[2025-03-19 19:23:25] Balance: 0.00 | Win: true
[2025-03-19 19:23:25] Balance: 0.00 | Win: true
[2025-03-19 19:23:26] Balance: 0.00 | Win: true
[2025-03-19 19:23:26] Balance: 0.00 | Win: true
[2025-03-19 19:23:27] Balance: 0.00 | Win: true
[2025-03-19 19:23:27] Balance: 0.00 | Win: true
[2025-03-19 19:23:53] Balance: 0.00 | Win: true
[2025-03-19 19:23:54] Balance: 0.00 | Win: true
[2025-03-19 19:23:54] Balance: 0.00 | Win: true
[2025-03-19 19:23:55] Balance: 0.00 | Win: true
[2025-03-19 19:23:55] Balance: 0.00 | Win: true
[2025-03-19 19:23:56] Balance: 0.00 | Win: true
[2025-03-19 19:23:56] Balance: 0.00 | Win: true
[2025-03-19 19:23:57] Balance: 0.00 | Win: true
[2025-03-19 19:24:38] Balance: 0.00 | Win: false
[2025-03-19 19:24:39] Balance: 0.00 | Win: false
[2025-03-19 19:24:39] Balance: 0.00 | Win: false
[2025-03-19 19:24:39] Balance: 0.00 | Win: false
[2025-03-19 19:24:40] Balance: 0.00 | Win: false
[2025-03-19 19:24:40] Balance: 0.00 | Win: false
[2025-03-19 19:24:40] Balance: 0.00 | Win: false
[2025-03-19 19:24:41] Balance: 0.00 | Win: false
[2025-03-19 19:24:41] Balance: 0.00 | Win: false
[2025-03-19 19:24:42] Balance: 0.00 | Win: false
[2025-03-19 19:24:42] Balance: 0.00 | Win: false
[2025-03-19 19:24:42] Balance: 0.00 | Win: false
[2025-03-19 19:24:43] Balance: 0.00 | Win: false
[2025-03-19 19:24:43] Balance: 0.00 | Win: false
[2025-03-19 19:24:43] Balance: 0.00 | Win: false
[2025-03-19 19:24:44] Balance: 0.00 | Win: false
[2025-03-19 19:24:44] Balance: 0.00 | Win: false
[2025-03-19 19:24:45] Balance: 0.00 | Win: false
[2025-03-19 19:24:45] Balance: 0.00 | Win: false
[2025-03-19 19:24:45] Balance: 0.00 | Win: false
[2025-03-19 19:24:46] Balance: 0.00 | Win: false
[2025-03-19 19:24:46] Balance: 0.00 | Win: false
[2025-03-19 19:24:47] Balance: 0.00 | Win: false
[2025-03-19 19:24:47] Balance: 0.00 | Win: false
[2025-03-19 19:24:47] Balance: 0.00 | Win: false
[2025-03-19 19:24:48] Balance: 0.00 | Win: false
[2025-03-19 19:24:48] Balance: 0.00 | Win: false
[2025-03-19 19:24:48] Balance: 0.00 | Win: false
[2025-03-19 19:24:49] Balance: 0.00 | Win: false
[2025-03-19 19:24:49] Balance: 0.00 | Win: false
[2025-03-19 19:24:50] Balance: 0.00 | Win: false
[2025-03-19 19:24:50] Balance: 0.00 | Win: false
[2025-03-19 19:24:50] Balance: 0.00 | Win: false
[2025-03-19 19:24:51] Balance: 0.00 | Win: false
[2025-03-19 19:24:51] Balance: 0.00 | Win: false
[2025-03-19 19:24:52] Balance: 0.00 | Win: false
[2025-03-19 19:24:52] Balance: 0.00 | Win: false
[2025-03-19 19:24:52] Balance: 0.00 | Win: false
[2025-03-19 19:24:53] Balance: 0.00 | Win: false
[2025-03-19 19:24:53] Balance: 0.00 | Win: false
[2025-03-19 19:24:54] Balance: 0.00 | Win: false
[2025-03-19 19:24:55] Balance: 0.00 | Win: false
[2025-03-19 19:24:55] Balance: 0.00 | Win: false
[2025-03-19 19:24:56] Balance: 0.00 | Win: false
[2025-03-19 19:24:56] Balance: 0.00 | Win: false
[2025-03-19 19:24:57] Balance: 0.00 | Win: false
[2025-03-19 19:24:57] Balance: 0.00 | Win: false
[2025-03-19 19:24:58] Balance: 0.00 | Win: false
[2025-03-19 19:24:58] Balance: 0.00 | Win: false
[2025-03-19 19:24:59] Balance: 0.00 | Win: false
[2025-03-19 19:24:59] Balance: 0.00 | Win: false
[2025-03-19 19:24:59] Balance: 0.00 | Win: false
[2025-03-19 19:25:00] Balance: 0.00 | Win: false
[2025-03-19 19:25:00] Balance: 0.00 | Win: false
[2025-03-19 19:25:00] Balance: 0.00 | Win: false
[2025-03-19 19:25:01] Balance: 0.00 | Win: false
[2025-03-19 19:25:01] Balance: 0.00 | Win: false
[2025-03-19 19:25:02] Balance: 0.00 | Win: false
[2025-03-19 19:25:02] Balance: 0.00 | Win: false
[2025-03-19 19:25:03] Balance: 0.00 | Win: false
[2025-03-19 19:25:03] Balance: 0.00 | Win: false
[2025-03-19 19:25:04] Balance: 0.00 | Win: false
[2025-03-19 19:25:04] Balance: 0.00 | Win: false
[2025-03-19 19:25:05] Balance: 0.00 | Win: false
[2025-03-19 19:25:05] Balance: 0.00 | Win: false
[2025-03-19 19:25:06] Balance: 0.00 | Win: false
[2025-03-19 19:25:06] Balance: 0.00 | Win: false
[2025-03-19 19:25:06] Balance: 0.00 | Win: false
[2025-03-19 19:25:07] Balance: 0.00 | Win: false
[2025-03-19 19:25:07] Balance: 0.00 | Win: false
[2025-03-19 19:25:08] Balance: 0.00 | Win: false
[2025-03-19 19:25:08] Balance: 0.00 | Win: false
[2025-03-19 19:25:08] Balance: 0.00 | Win: false
[2025-03-19 19:25:09] Balance: 0.00 | Win: false
[2025-03-19 19:25:09] Balance: 0.00 | Win: false
[2025-03-19 19:25:10] Balance: 0.00 | Win: false
[2025-03-19 19:25:10] Balance: 0.00 | Win: false
[2025-03-19 19:25:10] Balance: 0.00 | Win: false
[2025-03-19 19:25:30] Balance: 0.00 | Win: false
[2025-03-19 19:25:31] Balance: 0.00 | Win: false
[2025-03-19 19:25:32] Balance: 0.00 | Win: false
[2025-03-19 19:25:32] Balance: 0.00 | Win: false
[2025-03-19 19:25:33] Balance: 0.00 | Win: false
[2025-03-19 19:25:34] Balance: 0.00 | Win: false
[2025-03-19 19:25:34] Balance: 0.00 | Win: true
[2025-03-19 19:25:35] Balance: 0.00 | Win: false
[2025-03-19 19:25:35] Balance: 0.00 | Win: false
[2025-03-19 19:25:36] Balance: 0.00 | Win: false
[2025-03-19 19:25:36] Balance: 0.00 | Win: false
[2025-03-19 19:25:37] Balance: 0.00 | Win: false
[2025-03-19 19:25:37] Balance: 0.00 | Win: false
[2025-03-19 19:25:38] Balance: 0.00 | Win: false
[2025-03-19 19:25:38] Balance: 0.00 | Win: false
[2025-03-19 19:25:38] Balance: 0.00 | Win: false
[2025-03-19 19:25:39] Balance: 0.00 | Win: false
[2025-03-19 19:25:39] Balance: 0.00 | Win: false
[2025-03-19 19:25:40] Balance: 0.00 | Win: false
[2025-03-19 19:25:41] Balance: 0.00 | Win: false
[2025-03-19 19:25:41] Balance: 0.00 | Win: false
[2025-03-19 19:25:42] Balance: 0.00 | Win: false
[2025-03-19 19:25:42] Balance: 0.00 | Win: false
[2025-03-19 19:25:42] Balance: 0.00 | Win: false
[2025-03-19 19:25:43] Balance: 0.00 | Win: false
[2025-03-19 19:28:15] Balance: 0.00 | Win: true
[2025-03-19 19:28:16] Balance: 0.00 | Win: true
[2025-03-19 19:28:16] Balance: 0.00 | Win: true
[2025-03-19 19:28:16] Balance: 0.00 | Win: true
[2025-03-19 19:28:17] Balance: 0.00 | Win: true
[2025-03-19 19:28:17] Balance: 0.00 | Win: true
[2025-03-19 19:28:18] Balance: 0.00 | Win: true
[2025-03-19 19:28:18] Balance: 0.00 | Win: true
[2025-03-19 19:28:19] Balance: 0.00 | Win: true
[2025-03-19 19:28:19] Balance: 0.00 | Win: true
[2025-03-19 19:28:19] Balance: 0.00 | Win: true
[2025-03-19 19:28:20] Balance: 0.00 | Win: true
[2025-03-19 19:28:21] Balance: 0.00 | Win: true
[2025-03-19 19:28:21] Balance: 0.00 | Win: true
[2025-03-19 19:28:21] Balance: 0.00 | Win: true
[2025-03-19 19:28:22] Balance: 0.00 | Win: true
[2025-03-19 19:28:22] Balance: 0.00 | Win: true
[2025-03-19 19:28:44] Balance: 0.00 | Win: true
[2025-03-19 19:28:44] Balance: 0.00 | Win: true
[2025-03-19 19:28:45] Balance: 0.00 | Win: true
[2025-03-19 19:28:45] Balance: 0.00 | Win: true
[2025-03-19 19:28:45] Balance: 0.00 | Win: false
[2025-03-19 19:28:46] Balance: 0.00 | Win: true
[2025-03-19 19:28:46] Balance: 0.00 | Win: true
[2025-03-19 19:28:47] Balance: 0.00 | Win: true
[2025-03-19 19:28:47] Balance: 0.00 | Win: true
[2025-03-19 19:28:48] Balance: 0.00 | Win: true
[2025-03-19 19:28:48] Balance: 0.00 | Win: true
[2025-03-19 19:28:50] Balance: 0.00 | Win: true
[2025-03-19 19:28:52] Balance: 0.00 | Win: true
[2025-03-19 19:28:53] Balance: 0.00 | Win: true
[2025-03-19 19:28:53] Balance: 0.00 | Win: true
[2025-03-19 19:28:53] Balance: 0.00 | Win: true
[2025-03-19 19:28:54] Balance: 0.00 | Win: true
[2025-03-19 19:28:55] Balance: 0.00 | Win: true
[2025-03-19 19:28:55] Balance: 0.00 | Win: true
[2025-03-19 19:28:56] Balance: 0.00 | Win: true
[2025-03-19 19:28:56] Balance: 0.00 | Win: true
[2025-03-19 19:28:56] Balance: 0.00 | Win: true
[2025-03-19 19:28:57] Balance: 0.00 | Win: true
[2025-03-19 19:28:57] Balance: 0.00 | Win: true
[2025-03-19 19:28:58] Balance: 0.00 | Win: true
[2025-03-19 19:28:58] Balance: 0.00 | Win: true
[2025-03-19 19:28:59] Balance: 0.00 | Win: true
[2025-03-19 19:28:59] Balance: 0.00 | Win: true
[2025-03-19 19:29:00] Balance: 0.00 | Win: true
[2025-03-19 19:29:00] Balance: 0.00 | Win: true
[2025-03-19 19:29:00] Balance: 0.00 | Win: true
[2025-03-19 19:29:01] Balance: 0.00 | Win: true
[2025-03-19 19:29:01] Balance: 0.00 | Win: true
[2025-03-19 19:29:02] Balance: 0.00 | Win: true
[2025-03-19 19:29:02] Balance: 0.00 | Win: true
[2025-03-19 19:29:03] Balance: 0.00 | Win: true
[2025-03-19 19:29:03] Balance: 0.00 | Win: true
[2025-03-19 19:29:03] Balance: 0.00 | Win: true
[2025-03-19 19:29:04] Balance: 0.00 | Win: true
[2025-03-19 19:29:04] Balance: 0.00 | Win: true
[2025-03-19 19:29:05] Balance: 0.00 | Win: true
[2025-03-19 19:29:05] Balance: 0.00 | Win: true
[2025-03-19 19:29:06] Balance: 0.00 | Win: true
[2025-03-19 19:29:06] Balance: 0.00 | Win: true
[2025-03-19 19:32:20] Balance: 0.00 | Win: true
[2025-03-19 19:32:21] Balance: 0.00 | Win: true
[2025-03-19 19:32:21] Balance: 0.00 | Win: true
[2025-03-19 19:32:22] Balance: 0.00 | Win: true
[2025-03-19 19:32:22] Balance: 0.00 | Win: true
[2025-03-19 19:32:22] Balance: 0.00 | Win: true
[2025-03-19 19:32:23] Balance: 0.00 | Win: true
[2025-03-19 19:32:23] Balance: 0.00 | Win: true
[2025-03-19 19:32:24] Balance: 0.00 | Win: true
[2025-03-19 19:32:24] Balance: 0.00 | Win: true
[2025-03-19 19:32:25] Balance: 0.00 | Win: true
[2025-03-19 19:32:25] Balance: 0.00 | Win: true
[2025-03-19 19:32:25] Balance: 0.00 | Win: true
[2025-03-19 19:32:26] Balance: 0.00 | Win: true
[2025-03-19 19:32:26] Balance: 0.00 | Win: true
[2025-03-19 19:32:27] Balance: 0.00 | Win: true
[2025-03-19 19:32:27] Balance: 0.00 | Win: true
[2025-03-19 19:32:27] Balance: 0.00 | Win: true
[2025-03-19 19:32:28] Balance: 0.00 | Win: true
[2025-03-19 19:32:28] Balance: 0.00 | Win: true
[2025-03-19 19:32:29] Balance: 0.00 | Win: true
[2025-03-19 19:32:29] Balance: 0.00 | Win: true
[2025-03-19 19:32:29] Balance: 0.00 | Win: true
[2025-03-19 19:32:30] Balance: 0.00 | Win: true
[2025-03-19 19:32:30] Balance: 0.00 | Win: true
[2025-03-19 19:32:30] Balance: 0.00 | Win: true
[2025-03-19 19:32:31] Balance: 0.00 | Win: true
[2025-03-19 19:32:31] Balance: 0.00 | Win: true
[2025-03-19 19:32:32] Balance: 0.00 | Win: true
[2025-03-19 19:32:32] Balance: 0.00 | Win: true
[2025-03-19 19:32:33] Balance: 0.00 | Win: true
[2025-03-19 19:32:33] Balance: 0.00 | Win: true
[2025-03-19 19:32:33] Balance: 0.00 | Win: true
[2025-03-19 19:32:34] Balance: 0.00 | Win: true
[2025-03-19 19:32:34] Balance: 0.00 | Win: true
[2025-03-19 19:32:35] Balance: 0.00 | Win: true
[2025-03-19 19:32:35] Balance: 0.00 | Win: true
[2025-03-19 19:32:36] Balance: 0.00 | Win: true
[2025-03-19 19:32:36] Balance: 0.00 | Win: true
[2025-03-19 19:32:37] Balance: 0.00 | Win: true
[2025-03-19 19:32:38] Balance: 0.00 | Win: true
[2025-03-19 19:32:38] Balance: 0.00 | Win: true
[2025-03-19 19:32:39] Balance: 0.00 | Win: true
[2025-03-19 19:32:39] Balance: 0.00 | Win: true
[2025-03-19 19:32:39] Balance: 0.00 | Win: true
[2025-03-19 19:32:40] Balance: 0.00 | Win: true
[2025-03-19 19:32:40] Balance: 0.00 | Win: true
[2025-03-19 19:32:40] Balance: 0.00 | Win: true
[2025-03-19 19:32:41] Balance: 0.00 | Win: true
[2025-03-19 19:32:41] Balance: 0.00 | Win: true
[2025-03-19 19:32:42] Balance: 0.00 | Win: true
[2025-03-19 19:32:42] Balance: 0.00 | Win: true
[2025-03-19 19:32:42] Balance: 0.00 | Win: true
[2025-03-19 19:32:43] Balance: 0.00 | Win: true
[2025-03-19 19:32:43] Balance: 0.00 | Win: true
[2025-03-19 19:32:44] Balance: 0.00 | Win: true
[2025-03-19 19:32:44] Balance: 0.00 | Win: true
[2025-03-19 19:32:44] Balance: 0.00 | Win: true
[2025-03-19 19:32:45] Balance: 0.00 | Win: true
[2025-03-19 19:32:45] Balance: 0.00 | Win: true
[2025-03-19 19:32:46] Balance: 0.00 | Win: true
[2025-03-19 19:32:46] Balance: 0.00 | Win: true
[2025-03-19 19:32:47] Balance: 0.00 | Win: true
[2025-03-19 19:32:47] Balance: 0.00 | Win: true
[2025-03-19 19:32:48] Balance: 0.00 | Win: true
[2025-03-19 19:32:48] Balance: 0.00 | Win: true
[2025-03-19 19:32:48] Balance: 0.00 | Win: true
[2025-03-19 19:32:49] Balance: 0.00 | Win: true
[2025-03-19 19:32:49] Balance: 0.00 | Win: true
[2025-03-19 19:32:50] Balance: 0.00 | Win: true
[2025-03-19 19:32:51] Balance: 0.00 | Win: true
[2025-03-19 19:32:52] Balance: 0.00 | Win: true
[2025-03-19 19:32:52] Balance: 0.00 | Win: true
[2025-03-19 19:32:53] Balance: 0.00 | Win: true
[2025-03-19 19:32:53] Balance: 0.00 | Win: true
[2025-03-19 19:32:54] Balance: 0.00 | Win: true
[2025-03-19 19:32:55] Balance: 0.00 | Win: true
[2025-03-19 19:32:55] Balance: 0.00 | Win: true
[2025-03-19 19:32:55] Balance: 0.00 | Win: true
[2025-03-19 19:32:56] Balance: 0.00 | Win: true
[2025-03-19 19:32:56] Balance: 0.00 | Win: true
[2025-03-19 19:32:57] Balance: 0.00 | Win: false
