[2025-03-17 16:54:19] Balance: 1475.20 | Win: false
[2025-03-17 16:57:23] Balance: 1475.20 | Win: true
[2025-03-17 16:57:23] Balance: 1475.20 | Win: true
[2025-03-17 16:57:23] Balance: 1475.20 | Win: true
[2025-03-17 16:57:24] Balance: 1475.20 | Win: true
[2025-03-17 16:57:24] Balance: 1475.20 | Win: true
[2025-03-17 16:57:25] Balance: 1475.20 | Win: true
[2025-03-17 16:57:25] Balance: 1475.20 | Win: true
[2025-03-17 16:57:25] Balance: 1475.20 | Win: true
[2025-03-17 16:57:26] Balance: 1475.20 | Win: true
[2025-03-17 16:57:26] Balance: 1475.20 | Win: true
[2025-03-17 16:57:26] Balance: 1475.20 | Win: true
[2025-03-17 16:57:27] Balance: 1475.20 | Win: true
[2025-03-17 16:57:27] Balance: 1475.20 | Win: true
[2025-03-17 16:57:28] Balance: 1475.20 | Win: true
[2025-03-17 16:57:28] Balance: 1475.20 | Win: true
[2025-03-17 16:57:28] Balance: 1475.20 | Win: true
[2025-03-17 16:57:29] Balance: 1475.20 | Win: true
[2025-03-17 16:57:29] Balance: 1475.20 | Win: true
[2025-03-17 16:57:29] Balance: 1475.20 | Win: true
[2025-03-17 16:57:30] Balance: 1475.20 | Win: true
[2025-03-17 16:57:30] Balance: 1475.20 | Win: true
[2025-03-17 16:57:31] Balance: 1475.20 | Win: true
[2025-03-17 16:57:31] Balance: 1475.20 | Win: true
[2025-03-17 16:57:31] Balance: 1475.20 | Win: true
[2025-03-17 16:57:32] Balance: 1475.20 | Win: true
[2025-03-17 16:57:32] Balance: 1475.20 | Win: true
[2025-03-17 16:57:32] Balance: 1475.20 | Win: true
[2025-03-17 16:57:33] Balance: 1475.20 | Win: true
[2025-03-17 16:57:33] Balance: 1475.20 | Win: true
[2025-03-17 16:57:34] Balance: 1475.20 | Win: true
[2025-03-17 16:57:34] Balance: 1475.20 | Win: true
[2025-03-17 16:57:34] Balance: 1475.20 | Win: true
[2025-03-17 16:57:35] Balance: 1475.20 | Win: true
[2025-03-17 16:57:35] Balance: 1475.20 | Win: true
[2025-03-17 16:57:36] Balance: 1475.20 | Win: true
[2025-03-17 16:57:36] Balance: 1475.20 | Win: true
[2025-03-17 16:57:36] Balance: 576.20 | Win: false
[2025-03-17 17:01:27] Balance: 575.20 | Win: false
[2025-03-17 17:01:27] Balance: 574.20 | Win: false
[2025-03-17 17:01:27] Balance: 573.20 | Win: false
[2025-03-17 17:01:28] Balance: 572.20 | Win: false
[2025-03-17 17:01:28] Balance: 571.20 | Win: false
[2025-03-17 17:01:29] Balance: 570.20 | Win: false
[2025-03-17 17:01:29] Balance: 569.20 | Win: false
[2025-03-17 17:01:29] Balance: 568.20 | Win: false
[2025-03-17 17:01:30] Balance: 567.20 | Win: false
[2025-03-17 17:01:30] Balance: 566.20 | Win: false
[2025-03-17 17:01:30] Balance: 565.20 | Win: false
[2025-03-17 17:01:31] Balance: 564.20 | Win: false
[2025-03-17 17:01:31] Balance: 563.20 | Win: false
[2025-03-17 17:01:31] Balance: 562.20 | Win: false
[2025-03-17 17:01:32] Balance: 561.20 | Win: false
[2025-03-17 17:01:32] Balance: 560.20 | Win: false
[2025-03-17 17:01:33] Balance: 559.20 | Win: false
[2025-03-17 17:01:33] Balance: 558.20 | Win: false
[2025-03-17 17:01:33] Balance: 557.20 | Win: false
[2025-03-17 17:01:34] Balance: 556.20 | Win: false
[2025-03-17 17:01:34] Balance: 555.20 | Win: false
[2025-03-17 17:01:35] Balance: 554.20 | Win: false
[2025-03-17 17:01:35] Balance: 553.20 | Win: false
[2025-03-17 17:01:35] Balance: 552.20 | Win: false
[2025-03-17 17:01:36] Balance: 551.20 | Win: false
[2025-03-17 17:01:36] Balance: 550.20 | Win: false
[2025-03-17 17:01:36] Balance: 549.20 | Win: false
[2025-03-17 17:01:37] Balance: 548.20 | Win: false
[2025-03-17 17:01:37] Balance: 547.20 | Win: false
[2025-03-17 17:01:38] Balance: 546.20 | Win: false
[2025-03-17 17:01:38] Balance: 545.20 | Win: false
[2025-03-17 17:01:38] Balance: 544.20 | Win: false
[2025-03-17 17:01:39] Balance: 543.20 | Win: false
[2025-03-17 17:01:39] Balance: 542.20 | Win: false
[2025-03-17 17:01:40] Balance: 541.20 | Win: false
[2025-03-17 17:01:40] Balance: 540.20 | Win: false
[2025-03-17 17:01:40] Balance: 539.20 | Win: false
[2025-03-17 17:01:41] Balance: 538.20 | Win: false
[2025-03-17 17:01:41] Balance: 537.20 | Win: false
[2025-03-17 17:01:42] Balance: 536.20 | Win: false
[2025-03-17 17:01:42] Balance: 535.20 | Win: false
[2025-03-17 17:01:43] Balance: 534.20 | Win: false
